CityID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Provideniya,RU,64.3833,-173.3,-23.91,81,11,2.47,few clouds
192,Lebu,CL,-37.6167,-73.65,19.64,61,25,5.08,scattered clouds
193,Ikalamavony,MG,-21.15,46.5833,20.09,84,26,3.11,scattered clouds
194,Cockburn Town,TC,21.4612,-71.1419,26.98,54,40,8.75,scattered clouds
195,Savanur,IN,14.9667,75.35,21.82,48,0,3.85,clear sky
196,Yellowknife,CA,62.456,-114.3525,-25.4,83,20,1.54,few clouds
197,Shenjiamen,CN,29.9576,122.298,7.82,93,100,4.45,overcast clouds
198,Esperance,AU,-33.8667,121.9,17.91,62,100,4.38,overcast clouds
199,Broome,US,42.2506,-75.833,5.65,60,75,6.69,broken clouds
200,San Quintin,MX,30.4833,-115.95,23.87,28,62,2.74,broken clouds
201,Asfi,MA,32.2994,-9.2372,15.03,84,3,6.56,clear sky
202,Chiniot,PK,31.72,72.9789,10.36,43,0,2.32,clear sky
203,Sitka,US,57.0531,-135.33,5.94,81,100,6.17,overcast clouds
204,Rio Gallegos,AR,-51.6226,-69.2181,21.03,21,40,14.92,scattered clouds
205,Dingle,PH,10.9995,122.6711,23.43,93,28,3.45,scattered clouds
206,Zhangye,CN,38.9342,100.4517,-3.18,64,99,1.06,overcast clouds
207,Longyearbyen,SJ,78.2186,15.6401,-13.09,78,0,4.12,clear sky
208,Northam,GB,51.0333,-4.2167,9.68,96,100,8.33,overcast clouds
209,Lyngseidet,NO,69.5763,20.2189,-5.95,87,28,5.42,scattered clouds
210,Sehithwa,BW,-20.4667,22.7167,22.29,61,6,1.75,clear sky
211,Hambantota,LK,6.1241,81.1185,24.6,85,94,4.75,overcast clouds
212,Mount Isa,AU,-20.7333,139.5,22.87,100,5,0.0,clear sky
213,La Asuncion,VE,11.0333,-63.8628,26.35,63,23,7.6,few clouds
214,Naze,JP,28.3667,129.4833,17.38,91,100,4.22,overcast clouds
215,Hami,CN,42.8,93.45,-2.25,52,82,0.4,broken clouds
216,Tiznit,MA,29.5833,-9.5,14.23,55,0,0.85,clear sky
217,Humberto De Campos,BR,-2.5983,-43.4611,27.73,76,90,3.59,overcast clouds
218,Kenai,US,60.5544,-151.2583,-3.84,96,20,0.0,mist
219,Heilbron,ZA,-27.2812,27.9709,18.87,40,15,1.66,few clouds
220,Saint Albans,GB,51.75,-0.3333,6.6,77,100,6.17,overcast clouds
221,Puri,IN,19.8,85.85,16.29,56,11,2.06,few clouds
222,Falun,SE,60.6036,15.626,2.23,90,100,5.92,overcast clouds
223,Veraval,IN,20.9,70.3667,20.78,43,1,3.38,clear sky
224,Pacific Grove,US,36.6177,-121.9166,27.01,42,0,1.54,clear sky
225,Granville,AU,-33.8333,151.0167,19.94,88,75,3.09,broken clouds
226,Vila Franca Do Campo,PT,37.7167,-25.4333,16.78,84,100,4.47,overcast clouds
