CityID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Sakakah,SA,10.76,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
356,Pisco,PE,24.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
360,Jaen,ES,10.01,overcast clouds,38.0,-3.5,Hotel TRH Baeza
362,Ambon,ID,24.08,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
366,Westport,US,15.16,broken clouds,41.1415,-73.3579,The Westport Inn
375,Luwuk,ID,24.61,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
377,Limbang,MY,24.17,overcast clouds,4.75,115.0,Purnama Hotel
379,Dubbo,AU,13.07,clear sky,-32.25,148.6167,Quality Inn Dubbo International
380,Chuy,UY,20.2,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
381,Khairagarh,IN,12.08,clear sky,26.95,77.8167,Saleem Bhai Fruit Co.
383,Palu,ID,23.53,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
385,Iranshahr,IR,16.19,clear sky,27.2025,60.6848,نیک سرشت
391,Dunedin,NZ,10.45,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
392,Auki,SB,24.53,overcast clouds,-8.7676,160.7034,Auki Motel
394,Qujing,CN,5.02,scattered clouds,25.4833,103.7833,Yulong Hotel
395,Shingu,JP,6.06,overcast clouds,33.7333,135.9833,Shingu UI Hotel
396,Callaguip,PH,24.74,broken clouds,18.0714,120.4867,Pangil Beach Resort
397,Cuamba,MZ,20.49,light rain,-14.8031,36.5372,Hotel Vision
399,Nantucket,US,13.19,clear sky,41.2835,-70.0995,Jared Coffin House
401,Compostela,PH,22.47,overcast clouds,7.6731,126.0889,Cocos hotel
405,Aberdeen,GB,8.05,broken clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
406,Marsa Matruh,EG,14.11,clear sky,31.3525,27.2453,Beau Site
407,Patacamaya,BO,14.95,light rain,-17.2333,-67.9167,RESIDENCIAL ISLA VIGU
408,Porbandar,IN,20.18,clear sky,21.6422,69.6093,Lords Inn Porbandar
410,Auburn,US,12.01,clear sky,47.3073,-122.2284,La Quinta Inn & Suites by Wyndham Auburn
413,Narasannapeta,IN,19.75,broken clouds,18.4167,84.05,AVK events and catering
414,Llandrindod Wells,GB,9.05,overcast clouds,52.2416,-3.3787,Metropole Hotel and Spa
417,San Rafael,AR,24.29,clear sky,-34.6177,-68.3301,Hotel San Rafael
420,Sao Felix Do Xingu,BR,24.21,light rain,-6.6447,-51.995,Rio Xingu Camping
421,Wanning,CN,18.66,overcast clouds,18.8003,110.3967,Paradise Hotel
422,Mareeba,AU,22.4,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
428,Byron Bay,AU,20.59,overcast clouds,-28.65,153.6167,Backpackers Inn
430,Temeni,GR,13.1,overcast clouds,38.2333,22.1167,Balcony to Waves
431,Biak,ID,23.68,overcast clouds,-0.9131,122.8766,Penginapan Kim
